hostname_length,path_length,double_slash_in_path,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label_encoded
6,7,0,0,0,0,0,0,0,3.746439344671016,-1,-999,0,0,0,0,0,0,0,1
22,41,0,0,0,0,0,0,2,4.497668739679758,-1,-999,0,0,0,0,0,0,0,1
15,66,0,0,1,1,0,0,1,4.720684676697587,-1,-999,0,0,0,0,0,0,0,1
16,7,0,0,1,0,0,0,1,3.739572261986723,-1,-999,0,0,0,0,0,0,0,1
19,22,0,0,0,0,0,0,0,3.8928941476196224,-1,-999,0,0,0,0,0,0,0,1
17,12,1,0,1,1,0,0,0,4.065079515030719,-1,-999,0,0,0,0,0,0,0,1
13,56,0,0,1,0,0,0,2,4.592275540297157,-1,-999,0,0,0,1,0,0,0,1
16,12,0,0,0,0,0,0,0,3.8401568604088596,-1,86,0,25,0,26,0,0,0,1
14,27,0,0,0,0,0,0,0,4.240601562950723,-1,70,0,0,0,9,0,0,0,1
14,4,0,0,0,0,0,1,4,4.243856189774725,-1,-999,0,0,0,0,0,0,0,1
19,53,0,0,0,1,0,0,0,4.329753256747981,-1,-999,0,0,0,0,0,0,0,1
20,24,0,0,1,0,0,0,0,3.9806474020206344,-1,-999,0,0,0,0,0,0,0,1
15,41,0,0,0,0,0,0,8,4.421103732749,-1,-999,0,0,0,0,0,0,0,1
19,100,0,0,1,2,0,0,1,4.843588068151519,-1,50,0,6,0,47,0,0,0,1
23,34,0,0,1,0,0,0,0,4.334322516654254,-1,-999,0,0,0,0,0,0,0,1
15,79,0,0,1,0,0,0,5,5.074290725396059,-1,62,0,0,0,0,0,0,0,1
12,38,0,0,1,1,0,0,0,4.296944838346589,-1,65,0,0,0,0,0,0,0,1
22,28,0,0,2,0,0,0,0,4.188630813938575,-1,-999,0,0,0,0,0,0,0,1
19,14,0,0,1,1,0,0,1,4.227567157116929,-1,-999,0,0,0,0,0,0,0,1
17,11,0,0,1,1,0,0,1,4.161445788918474,-1,-999,0,0,0,0,0,0,0,1
26,183,0,0,0,1,0,0,89,4.948224095752584,-1,-999,0,0,0,0,0,0,0,1
19,4,0,0,1,1,0,0,1,4.081727678869736,-1,-999,0,0,0,0,0,0,0,1
18,170,0,0,0,1,0,0,81,4.837914352089509,-1,34,0,0,0,0,0,0,0,1
32,61,0,0,0,0,0,2,0,4.2662527426974775,-1,-999,0,0,0,0,0,0,0,1
11,8,0,0,0,0,0,0,0,4.1808329872054415,-1,87,0,0,0,0,0,0,0,1
17,20,0,0,1,1,0,0,2,4.243300368538958,-1,-999,0,0,0,0,0,0,0,1
33,0,0,0,1,0,0,1,1,4.2439427079182686,-1,55,0,0,0,1,0,0,0,1
13,19,0,0,1,0,0,0,0,4.182336834024969,-1,-999,0,0,0,0,0,0,0,1
16,75,0,0,0,1,0,0,0,4.423176775976507,-1,-999,0,0,0,0,0,0,0,1
16,76,0,0,0,1,0,0,0,4.409800631380253,-1,-999,0,0,0,0,0,0,0,1
20,10,0,0,1,2,0,0,1,4.317033095124791,-1,-999,0,0,0,0,0,0,0,1
9,57,0,0,0,1,0,0,23,4.57886810194197,-1,-999,0,0,0,0,0,0,0,1
15,63,0,0,1,0,0,0,5,5.177426494047939,-1,62,0,0,0,0,0,0,0,1
18,167,0,0,0,0,0,0,87,4.645624959314891,-1,64,0,0,0,0,0,0,0,1
13,167,0,0,0,2,0,0,77,4.761752613063481,-1,-999,0,0,0,0,0,0,0,1
30,85,0,0,1,1,0,0,3,4.415950833503788,-1,42,0,0,0,3,0,0,0,1
18,0,0,0,1,0,0,1,1,3.763856189774725,-1,-999,0,2,1,16,0,0,1,1
35,28,0,0,1,1,0,2,0,4.2719506102543265,-1,-999,0,0,0,0,0,0,0,1
12,42,0,0,0,0,0,0,0,4.215242207823637,-1,-999,0,0,0,0,0,0,0,1
74,22,0,0,8,4,0,1,0,4.396328443781946,-1,-999,0,0,0,0,0,0,0,1
148,29,0,0,13,3,0,1,52,4.870796473024593,-1,-999,0,0,0,0,0,0,0,1
29,5,0,0,1,0,0,0,0,4.143541333622539,-1,-999,0,0,0,0,0,0,0,1
16,0,0,0,1,0,0,1,1,3.7622673906514943,-1,-999,0,2,1,16,0,0,1,1
17,0,0,0,1,0,0,0,2,3.9182958340544896,-1,-999,0,0,0,3,0,0,0,1
10,52,0,0,2,0,0,0,0,4.247976682213747,-1,-999,0,0,0,0,0,0,0,1
14,0,0,0,1,0,0,0,1,3.7849418274376427,-1,-999,0,2,1,16,0,0,1,1
62,41,0,0,9,2,0,0,21,4.816023324611677,-1,-999,0,0,0,0,0,0,0,1
16,90,0,0,1,0,0,0,20,4.835684929311301,-1,-999,0,0,0,0,0,0,0,1
