hostname_length,path_length,double_slash_in_path,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label_encoded
8,149,0,0,0,2,0,0,6,4.8940957274651575,-1,-999,0,0,0,0,0,0,0,1
25,177,0,0,1,2,0,2,23,4.635382513247233,-1,-999,0,0,0,0,0,0,0,1
72,46,0,0,10,2,0,0,27,4.735532889151262,-1,-999,0,0,0,0,0,0,0,1
16,14,0,0,0,0,0,1,0,4.2398776093876736,-1,-999,0,0,0,0,0,0,0,1
16,90,0,0,1,0,0,0,20,4.835684929311301,-1,-999,0,0,0,0,0,0,0,1
130,29,0,0,10,4,0,4,27,4.784050077458297,-1,-999,0,0,0,0,0,0,0,1
119,34,0,0,9,2,0,2,56,4.892132272163859,-1,-999,0,0,0,0,0,0,0,1
13,30,0,0,0,0,0,1,0,4.248367439558378,-1,-999,0,0,0,0,0,0,0,1
130,30,0,0,10,4,0,4,29,4.812120199007018,-1,-999,0,0,0,0,0,0,0,1
130,33,0,0,10,4,0,4,27,4.81686589428397,-1,-999,0,0,0,0,0,0,0,1
23,80,0,0,1,2,0,0,26,4.806607619895032,-1,-999,0,0,0,0,0,0,0,1
111,1,0,0,10,2,0,0,25,4.626621774852937,-1,-999,0,0,0,0,0,0,0,1
29,82,0,0,4,2,0,1,1,4.581001346222241,-1,-999,0,0,0,0,0,0,0,1
13,22,0,0,0,1,0,0,0,4.252453066090017,-1,-999,0,0,0,0,0,0,0,1
50,186,0,0,4,2,0,1,122,4.723788071764969,-1,-999,0,0,0,0,0,0,0,1
19,172,0,0,1,1,0,0,83,4.784453772845701,-1,-999,0,2,0,8,0,0,0,1
23,104,0,0,1,3,0,0,29,4.8192171324726285,-1,-999,0,0,0,0,0,0,0,1
23,12,0,0,1,0,0,0,0,4.044003363657554,-1,-999,0,0,0,0,0,0,0,1
23,43,0,0,1,2,0,0,1,4.335382656588308,-1,-999,0,0,0,0,0,0,0,1
16,81,0,0,1,0,0,0,2,4.667283056713768,-1,-999,0,0,0,0,0,0,0,1
29,70,0,0,4,2,0,1,1,4.5686289084006,-1,-999,0,0,0,0,0,0,0,1
50,43,0,0,4,2,0,1,33,4.753367880694703,-1,-999,0,0,0,0,0,0,0,1
11,8,0,0,0,0,0,0,0,4.103909910282364,-1,-999,0,0,0,0,0,0,0,1
17,21,0,0,1,1,0,0,2,4.207976707200401,-1,-999,0,0,0,0,0,0,0,1
22,6,0,0,1,1,0,0,0,3.9572958738405704,-1,-999,0,0,0,0,0,0,0,1
41,1,0,0,1,0,0,0,6,3.7699660842652563,-1,-999,0,0,0,0,0,0,0,1
13,195,0,0,1,0,0,1,76,4.908012752417285,-1,-999,0,0,0,0,0,0,0,1
30,86,0,0,1,1,0,0,3,4.431879119775903,-1,-999,0,0,0,3,0,0,0,1
116,12,0,0,10,2,0,1,45,4.791507472212393,-1,-999,0,0,0,0,0,0,0,1
15,32,1,0,0,0,0,0,0,4.3449066598038835,-1,-999,0,0,0,0,0,0,0,1
14,98,0,0,1,1,0,1,0,4.448312614348044,-1,-999,0,0,0,0,0,0,0,1
170,8,0,0,10,2,0,1,95,4.488504258484105,-1,-999,0,0,0,0,0,0,0,1
111,32,0,0,10,3,0,0,26,4.6976512748341435,-1,-999,0,0,0,0,0,0,0,1
13,110,0,0,0,5,0,1,0,4.58222583907364,-1,-999,0,0,0,0,0,0,0,1
23,38,0,0,1,0,0,0,0,4.113640642946049,-1,-999,0,0,0,0,0,0,0,1
18,184,0,0,1,1,0,0,83,4.7902064631874435,-1,-999,0,0,0,0,0,0,0,1
12,43,0,0,0,1,0,0,18,4.6270886501047155,-1,-999,0,2,0,12,0,0,0,1
17,80,0,0,1,1,1,0,3,4.4919708205088655,-1,-999,0,4,0,52,0,0,0,1
21,37,0,0,1,0,0,1,6,4.523507475101984,-1,-999,0,0,0,0,0,0,0,1
12,45,0,0,0,1,0,0,20,4.684674852072124,-1,-999,0,2,0,12,0,0,0,1
16,12,0,0,1,0,0,0,5,3.946880788794848,-1,-999,0,0,0,0,0,0,0,1
23,113,0,0,1,3,0,0,29,4.85134572718171,-1,-999,0,0,0,0,0,0,0,1
26,185,0,0,0,1,0,0,85,4.886577665877311,-1,-999,0,0,0,0,0,0,0,1
125,1,0,0,11,2,0,3,32,4.875262255820112,-1,-999,0,0,0,0,0,0,0,1
